E,L,P
0.8145276381909549,162.81452763819098,0.9913611798063459
0.8220603015075378,164.32206030150755,0.9913609924035961
0.8295929648241207,165.82959296482414,0.9913608084022867
0.8371256281407036,167.33712562814074,0.9913606277106441
0.8446582914572865,168.8446582914573,0.9913604502401672
0.8521909547738694,170.3521909547739,0.9913602759054816
0.8597236180904524,171.85972361809047,0.9913601046242043
0.8672562814070353,173.36725628140707,0.9913599363168127
0.8747889447236182,174.87478894472363,0.9913597709065218
0.8823216080402011,176.38232160804023,0.9913596083191676
0.8898542713567841,177.8898542713568,0.9913594484830961
0.8973869346733669,179.3973869346734,0.9913592913290579
0.9049195979899498,180.90491959799,0.9913591367901083
0.9124522613065328,182.41245226130656,0.9913589848015123
0.9199849246231157,183.91998492462315,0.9913588353006538
