E,L = 100km
0.0840207655742,0.9137738299583528
0.084520890668,0.9132559094809762
0.0850210157618,0.912762910224649
0.0855211408556,0.9122942919418973
0.0860212659495,0.9118495158411091
0.0865213910433,0.9114280453937611
0.0870215161371,0.9110293470682127
0.0875216412309,0.9106528909950566
0.0880217663247,0.9102981515687171
0.0885218914186,0.9099646079897109
0.0890220165124,0.9096517447517182
0.0895221416062,0.9093590520773586
0.0900222667,0.9090860263063315
0.0905223917938,0.9088321702393516
0.0910225168877,0.9085969934410969
0.0915226419815,0.9083800125051874
0.0920227670753,0.9081807512840185
0.0925228921691,0.9079987410860948
0.0930230172629,0.9078335208433417
0.0935231423568,0.9076846372507098
0.0940232674506,0.9075516448802383
0.0945233925444,0.9074341062715998
0.0950235176382,0.9073315920010189
0.095523642732,0.9072436807303274
