L,E = 0.01GeV,E = 0.02GeV,E = 0.05GeV
24.6255425425,0.9637846087396765,0.9171648633799531,0.9555733844953114
24.9258418418,0.9595262246572746,0.9185538310643122,0.9547085083161809
25.2261411411,0.9552156937790865,0.9200184396963976,0.9538432135432127
25.5264404404,0.9508903164691411,0.9215555191322894,0.9529777998905705
25.8267397397,0.9465875215622572,0.923161742365085,0.9521125671135957
26.127039039,0.9423445424806981,0.9248336327262028,0.9512478149049786
26.4273383383,0.9381980950417913,0.9265675714106275,0.9503838427909541
26.7276376376,0.9341840597445441,0.9283598053098101,0.9495209500275541
27.0279369369,0.9303371712845293,0.9302064551352676,0.9486594354969532
27.3282362362,0.9266907179837635,0.9321035238152985,0.9477995976039443
27.6285355355,0.9232762537365058,0.9340469051466416,0.9469417341725794
27.9288348348,0.9201233249635996,0.936032392682348,0.9460861423430117
