E,L = 180km,L = 200km,L = 300km
0.165082082082,0.9083024011957529,0.9154573850535386,0.9904670439237414
0.167083083083,0.9078973068735543,0.9142939867316014,0.9884820506683426
0.169084084084,0.9075738273577781,0.9132345585797057,0.9863905167659961
0.171085085085,0.9073270899358294,0.9122747743093745,0.9842102487051793
0.173086086086,0.9071524174926344,0.9114103167122907,0.9819577418512965
0.175087087087,0.9070453308019799,0.9106369047652477,0.9796482107090129
0.177088088088,0.9070015488022429,0.9099503160276388,0.9772956295122502
0.179089089089,0.9070169872248041,0.9093464049519097,0.9749127805136182
0.18109009009,0.9070877558894637,0.9088211176557162,0.9725113077823917
0.183091091091,0.9072101549343865,0.908370503639965,0.9701017746986391
0.185092092092,0.9073806702076159,0.907990724879006,0.967693723656802
0.187093093093,0.9075959680122299,0.907678062657467,0.9652957367707854
